categoryLabel,categoryID
Makeup,makeup-cosmetics
Face,face-makeup
Foundation,foundation-makeup
BB & CC Cream,bb-cc-cream-face-makeup
Tinted Moisturizer,tinted-moisturizer
Concealer,concealer
Face Primer,makeup-primer-face-primer
Setting Spray & Powder,setting-powder-face-powder
Highlighter,luminizer-luminous-makeup
Contour,contour-palette-brush
Color Correct,color-correcting
Face Sets,complexion-sets
Eye,eye-makeup
Eye Palettes,eyeshadow-palettes
Mascara,mascara
Eyeliner,eyeliner
Eyebrow,eyebrow-makeup-pencils
False Eyelashes,fake-eyelashes-false-eyelashes
Eyeshadow,eyeshadow
Eye Primer,eyeshadow-primer-eye-primer
Eye Sets,eye-sets
Lip,lips-makeup
Lip Gloss,lip-gloss
Lipstick,lipstick
Lip Plumper,lip-plumper
Lip Balms & Treatments,lip-balm-treatments-lips-makeup
Liquid Lipstick,liquid-lipstick
Lip Liner,lip-liner-lip-pencils
Lip Stain,lip-stain
Lip Sets,lip-palettes-gloss-sets
Cheek,cheek-makeup
Blush,blush
Bronzer,bronzer-makeup
Cheek Palettes,cheek-palettes
Makeup Value & Gift Sets,makeup-kits-makeup-sets
Makeup Palettes,makeup-palettes
Brushes & Applicators,brush-sets-makeup-brushes-applicators-makeup
Accessories,makeup-accessories
Nail,nails-makeup
Clean Makeup,clean-makeup
Vegan Makeup,vegan-makeup
Mini Size,mini-makeup
Skincare,skincare
Moisturizers,moisturizing-cream-oils-mists
Night Creams,night-cream
Face Oils,cleansing-oil-face-oil
Mists & Essences,face-mist-face-spray
BB & CC Cream,bb-cream-cc-cream
Cleansers,cleanser
Face Wash & Cleansers,face-wash-facial-cleanser
Exfoliators,exfoliating-scrub-exfoliator
Makeup Removers,makeup-remover-skincare
Face Wipes,face-wipes
Toners,facial-toner-skin-toner
Treatments,facial-treatments
Face Serums,face-serum
Blemish & Acne Treatments,acne-products-acne-cream
Facial Peels,facial-peels
Masks,face-mask
Face Masks,facial-treatment-masks
Sheet Masks,sheet-masks
Eye Masks,eye-mask
Eye Care,eye-treatment-dark-circle-treatment
Eye Creams & Treatments,eye-cream-dark-circles
Lip Balms & Treatments,lip-balm-lip-care
Sunscreen,sunscreen-sun-protection
Face Sunscreen,face-sunscreen
Body Sunscreen,sunscreen
High Tech Tools,skin-care-tools
Wellness,wellness-skincare
Supplements,vitamins-for-hair-skin-nails
Feminine Care,feminine-care
Acne & Blemishes,acne-treatment-blemish-remover
Anti-Aging,anti-aging-skin-care
Dark Spots,dark-spot-remover
Pores,pore-minimizing-products
Dryness,dry-skin-treatment
Fine Lines & Wrinkles,wrinkle-cream-wrinkle-remover
Dullness,skin-brighteners-dull-skin-treatments
Clean Skincare,clean-skin-care
Vegan Skincare,vegan-skin-care
Skincare Value & Gift Sets,skin-care-sets-travel-value
Mini Size,mini-skincare
FSA & HSA Eligible,fsa-eligible-products
All Hair,hair-products
Shampoo & Conditioner,shampoo-sulfate-free-shampoo
Conditioner,conditioner-hair
Treatments,hair-products-treatments
Hair Masks,hair-masks
Leave-in Conditioner,leave-in-conditioner
Hair Oil,hair-oil-treatment
Scalp Treatments,hair-treatment-dry-scalp-treatment
Hair Supplements,hair-supplements
Hair Thinning & Hair Loss,thinning-hair-loss
Hair Value & Gift Sets,hair-care-sets
All Fragrance,fragrance
Women,fragrances-for-women
Perfume,perfume
Rollerballs & Travel Size,rollerball-perfume-roll-on-perfume
Body Mist & Hair Mist,body-mist-hair-mist
Men,fragrances-for-men
Cologne,cologne
Unisex,unisex-perfume-cologne
Fragrance Value & Gift Sets,fragrance-value-sets-gifts
Perfume Gift Sets,perfume-gift-sets
Cologne Gift Sets,cologne-gift-sets
Candles & Home Scents,home-fragrance-candle-gift-sets
Candles,candles
Diffusers,diffusers
Floral,floral-fragrances
Fresh,fresh-fragrances
Warm & Spicy,spicy-warm-fragrances
Earthy & Woody,woody-earthy-fragrances
Clean Fragrance,clean-fragrance
Vegan Fragrance,vegan-fragrance
Mini Size,mini-perfume
All Tools & Brushes,makeup-tools
Brush Sets,makeup-brush-sets
Face Brushes,foundation-brushes-face-brushes
Eye Brushes,eyeliner-brushes-eyeshadow-brushes
Lip Brushes,lip-brushes-lipstick-brushes
Sponges & Applicators,makeup-sponges
Brush Cleaners,makeup-brush-cleaner
Facial Cleansing Brushes,cleansing-brushes-tools-brushes
Hair Dryers,dryers-hair-tools-accessories-tools-accessories
Straighteners & Flat Irons,flatirons-stylers-hair-tools
Curling Irons,curling-irons-wands-hair-tools
Brushes & Combs,hair-brushes-combs-hair-tools-accessories-tools-accessories
Accessories,hair-accessories-hair-tools-accessories-tools-accessories
Anti-Aging,anti-aging-tools
Manicure & Pedicure,pedicure-tools-manicure-tools
