scraping | 2025-02-28 09:26:33 | INFO | Тестовая запись в лог
scraping | 2025-02-28 09:34:44 | INFO | NumExpr defaulting to 2 threads.
scraping | 2025-02-28 09:46:42 | INFO | Ссылки на продукты добавлены для  ACCA KAPPA 
scraping | 2025-02-28 09:46:46 | INFO | Ссылки на продукты добавлены для  ACCOJE 
scraping | 2025-02-28 09:47:01 | INFO | Ссылки на продукты добавлены для  ACQUA DI PARMA 
scraping | 2025-02-28 09:47:05 | INFO | Ссылки на продукты добавлены для  ACQUE DI ITALIA 
scraping | 2025-02-28 09:47:09 | INFO | Ссылки на продукты добавлены для  A-DERMA 
scraping | 2025-02-28 09:47:27 | INFO | Ссылки на продукты добавлены для  ADOPT’ 
scraping | 2025-02-28 09:47:32 | INFO | Ссылки на продукты добавлены для  AESOP 
scraping | 2025-02-28 09:47:36 | INFO | Ссылки на продукты добавлены для  AHA 
scraping | 2025-02-28 09:47:40 | INFO | Ссылки на продукты добавлены для  AHAVA 
scraping | 2025-02-28 09:47:49 | INFO | Ссылки на продукты добавлены для  AJMAL 
scraping | 2025-02-28 09:49:13 | INFO | Ссылки на продукты добавлены для  ANTONIO BANDERAS 
scraping | 2025-02-28 09:49:28 | INFO | Ссылки на продукты добавлены для  ARAVIA LABORATORIES ru
scraping | 2025-02-28 09:49:31 | INFO | Ссылки на продукты добавлены для  ARAVIA ORGANIC ru
scraping | 2025-02-28 09:49:37 | INFO | Ссылки на продукты добавлены для  ARAVIA PROFESSIONAL ru
scraping | 2025-02-28 09:49:48 | INFO | Ссылки на продукты добавлены для  ARCHITECT DEMIDOFF 
scraping | 2025-02-28 09:49:52 | INFO | Ссылки на продукты добавлены для  ARDELL 
scraping | 2025-02-28 09:49:57 | INFO | Ссылки на продукты добавлены для  ARIVE MAKEUP ru
scraping | 2025-02-28 09:50:01 | INFO | Ссылки на продукты добавлены для  ARMAND BASI 
scraping | 2025-02-28 09:50:20 | INFO | Ссылки на продукты добавлены для  ART&FACT. ru
scraping | 2025-02-28 09:50:25 | INFO | Ссылки на продукты добавлены для  ART-VISAGE ru
scraping | 2025-02-28 09:50:35 | INFO | Ссылки на продукты добавлены для  ASSORO ru
scraping | 2025-02-28 09:50:39 | INFO | Ссылки на продукты добавлены для  ASTRA 
scraping | 2025-02-28 09:50:43 | INFO | Ссылки на продукты добавлены для  ASTROPHIL & STELLA 
scraping | 2025-02-28 09:50:46 | INFO | Ссылки на продукты добавлены для  ATELIER COLOGNE 
scraping | 2025-02-28 09:50:50 | INFO | Ссылки на продукты добавлены для  ATELIER DES NUANCES 
scraping | 2025-02-28 09:50:54 | INFO | Ссылки на продукты добавлены для  ATELIER MATERI 
scraping | 2025-02-28 09:50:59 | INFO | Ссылки на продукты добавлены для  ATELIER REBUL 
scraping | 2025-02-28 09:51:03 | INFO | Ссылки на продукты добавлены для  ATKINSONS LONDON 1799 
scraping | 2025-02-28 09:51:07 | INFO | Ссылки на продукты добавлены для  AUGER 
scraping | 2025-02-28 09:51:14 | INFO | Ссылки на продукты добавлены для  AVENE 
scraping | 2025-02-28 09:51:17 | INFO | Ссылки на продукты добавлены для  AVICENNA 
scraping | 2025-02-28 09:51:21 | INFO | Ссылки на продукты добавлены для  AXE 
scraping | 2025-02-28 09:51:31 | INFO | Ссылки на продукты добавлены для  AYRIS SILK ru
scraping | 2025-02-28 09:51:36 | INFO | Ссылки на продукты добавлены для  BABYLISS PRO 
scraping | 2025-02-28 09:51:42 | INFO | Ссылки на продукты добавлены для  BALMAIN 
scraping | 2025-02-28 09:51:54 | INFO | Ссылки на продукты добавлены для  BARBARO ru
scraping | 2025-02-28 09:51:59 | INFO | Ссылки на продукты добавлены для  BARRIO 
scraping | 2025-02-28 09:52:03 | INFO | Ссылки на продукты добавлены для  BATISTE 
scraping | 2025-02-28 09:52:07 | INFO | Ссылки на продукты добавлены для  BEAUTE MEDITERRANEA 
