api_parsing | 2025-02-28 19:17:31 | INFO | Тестовая запись в лог
api_parsing | 2025-02-28 19:17:37 | INFO | Запуск скрипта Sephora.
api_parsing | 2025-02-28 19:17:38 | INFO | Успешно получен список брендов.
api_parsing | 2025-02-28 19:17:38 | INFO | Обработка бренда: abbott
api_parsing | 2025-02-28 19:17:38 | INFO | Промежуточно сохранено 7 строк.
api_parsing | 2025-02-28 19:17:40 | INFO | Обработка бренда: act-acre
api_parsing | 2025-02-28 19:17:41 | INFO | Промежуточно сохранено 34 строк.
api_parsing | 2025-02-28 19:17:43 | INFO | Обработка бренда: adwoa-beauty
api_parsing | 2025-02-28 19:17:43 | INFO | Промежуточно сохранено 47 строк.
api_parsing | 2025-02-28 19:17:45 | INFO | Обработка бренда: aerin-perfume
api_parsing | 2025-02-28 19:17:46 | INFO | Промежуточно сохранено 53 строк.
api_parsing | 2025-02-28 19:17:48 | INFO | Обработка бренда: algenist
api_parsing | 2025-02-28 19:17:48 | ERROR | Серверная ошибка 500 для бренда algenist, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:17:48 | WARNING | Пропускаем бренд algenist, нет данных или ошибка.
api_parsing | 2025-02-28 19:17:48 | INFO | Обработка бренда: alo
api_parsing | 2025-02-28 19:17:49 | ERROR | Серверная ошибка 500 для бренда alo, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:17:49 | WARNING | Пропускаем бренд alo, нет данных или ошибка.
api_parsing | 2025-02-28 19:17:49 | INFO | Обработка бренда: alpha-h
api_parsing | 2025-02-28 19:17:49 | ERROR | Серверная ошибка 500 для бренда alpha-h, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:17:49 | WARNING | Пропускаем бренд alpha-h, нет данных или ошибка.
api_parsing | 2025-02-28 19:17:49 | INFO | Обработка бренда: alpyn-beauty
api_parsing | 2025-02-28 19:17:50 | INFO | Промежуточно сохранено 66 строк.
api_parsing | 2025-02-28 19:17:52 | INFO | Обработка бренда: alterna
api_parsing | 2025-02-28 19:17:53 | INFO | Промежуточно сохранено 74 строк.
api_parsing | 2025-02-28 19:17:55 | INFO | Обработка бренда: ami-cole
api_parsing | 2025-02-28 19:17:55 | INFO | Промежуточно сохранено 86 строк.
api_parsing | 2025-02-28 19:17:57 | INFO | Обработка бренда: amika
api_parsing | 2025-02-28 19:17:58 | INFO | Промежуточно сохранено 146 строк.
api_parsing | 2025-02-28 19:18:00 | INFO | Обработка бренда: anastasia-beverly-hills
api_parsing | 2025-02-28 19:18:00 | INFO | Промежуточно сохранено 206 строк.
api_parsing | 2025-02-28 19:18:02 | INFO | Обработка бренда: aquis
api_parsing | 2025-02-28 19:18:03 | ERROR | Серверная ошибка 500 для бренда aquis, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:18:03 | WARNING | Пропускаем бренд aquis, нет данных или ошибка.
api_parsing | 2025-02-28 19:18:03 | INFO | Обработка бренда: giorgio-armani-beauty
