api_parsing | 2025-02-28 20:28:40 | INFO | Тестовая запись в лог
api_parsing | 2025-02-28 20:29:16 | INFO | Тестовая запись в лог
api_parsing | 2025-02-28 20:33:40 | INFO | Запуск сохранения категорий...
api_parsing | 2025-02-28 20:34:56 | INFO | Запуск сохранения категорий...
api_parsing | 2025-02-28 20:34:58 | INFO | Успешно получен список категорий.
api_parsing | 2025-02-28 20:34:58 | INFO | Сохранено 131 записей в файл categories.csv.
api_parsing | 2025-02-28 20:34:58 | INFO | Готово!
api_parsing | 2025-02-28 21:05:29 | INFO | Успешно получен список брендов.
api_parsing | 2025-02-28 21:05:29 | INFO | Список брендов успешно сохранен в файл brands.csv.
api_parsing | 2025-02-28 21:39:44 | INFO | Обрабатываем категорию: Makeup (ID: makeup-cosmetics)
api_parsing | 2025-02-28 21:39:45 | ERROR | Серверная ошибка 500 для категории makeup-cosmetics, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:45 | WARNING | Не удалось получить продукты для категории Makeup.
api_parsing | 2025-02-28 21:39:45 | INFO | Обрабатываем категорию: Face (ID: face-makeup)
api_parsing | 2025-02-28 21:39:46 | ERROR | Серверная ошибка 500 для категории face-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:46 | WARNING | Не удалось получить продукты для категории Face.
api_parsing | 2025-02-28 21:39:46 | INFO | Обрабатываем категорию: Foundation (ID: foundation-makeup)
api_parsing | 2025-02-28 21:39:46 | ERROR | Серверная ошибка 500 для категории foundation-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:46 | WARNING | Не удалось получить продукты для категории Foundation.
api_parsing | 2025-02-28 21:39:46 | INFO | Обрабатываем категорию: BB & CC Cream (ID: bb-cc-cream-face-makeup)
api_parsing | 2025-02-28 21:39:47 | ERROR | Серверная ошибка 500 для категории bb-cc-cream-face-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:47 | WARNING | Не удалось получить продукты для категории BB & CC Cream.
api_parsing | 2025-02-28 21:39:47 | INFO | Обрабатываем категорию: Tinted Moisturizer (ID: tinted-moisturizer)
api_parsing | 2025-02-28 21:39:48 | ERROR | Серверная ошибка 500 для категории tinted-moisturizer, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:48 | WARNING | Не удалось получить продукты для категории Tinted Moisturizer.
api_parsing | 2025-02-28 21:39:48 | INFO | Обрабатываем категорию: Concealer (ID: concealer)
api_parsing | 2025-02-28 21:39:49 | ERROR | Серверная ошибка 500 для категории concealer, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:49 | WARNING | Не удалось получить продукты для категории Concealer.
api_parsing | 2025-02-28 21:39:49 | INFO | Обрабатываем категорию: Face Primer (ID: makeup-primer-face-primer)
api_parsing | 2025-02-28 21:39:49 | ERROR | Серверная ошибка 500 для категории makeup-primer-face-primer, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:49 | WARNING | Не удалось получить продукты для категории Face Primer.
api_parsing | 2025-02-28 21:39:49 | INFO | Обрабатываем категорию: Setting Spray & Powder (ID: setting-powder-face-powder)
api_parsing | 2025-02-28 21:39:50 | ERROR | Серверная ошибка 500 для категории setting-powder-face-powder, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:50 | WARNING | Не удалось получить продукты для категории Setting Spray & Powder.
api_parsing | 2025-02-28 21:39:50 | INFO | Обрабатываем категорию: Highlighter (ID: luminizer-luminous-makeup)
api_parsing | 2025-02-28 21:39:51 | ERROR | Серверная ошибка 500 для категории luminizer-luminous-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:51 | WARNING | Не удалось получить продукты для категории Highlighter.
api_parsing | 2025-02-28 21:39:51 | INFO | Обрабатываем категорию: Contour (ID: contour-palette-brush)
api_parsing | 2025-02-28 21:39:52 | ERROR | Серверная ошибка 500 для категории contour-palette-brush, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:52 | WARNING | Не удалось получить продукты для категории Contour.
api_parsing | 2025-02-28 21:39:52 | INFO | Обрабатываем категорию: Color Correct (ID: color-correcting)
api_parsing | 2025-02-28 21:39:52 | ERROR | Серверная ошибка 500 для категории color-correcting, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:52 | WARNING | Не удалось получить продукты для категории Color Correct.
api_parsing | 2025-02-28 21:39:52 | INFO | Обрабатываем категорию: Face Sets (ID: complexion-sets)
api_parsing | 2025-02-28 21:39:53 | ERROR | Серверная ошибка 500 для категории complexion-sets, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:53 | WARNING | Не удалось получить продукты для категории Face Sets.
api_parsing | 2025-02-28 21:39:53 | INFO | Обрабатываем категорию: Eye (ID: eye-makeup)
api_parsing | 2025-02-28 21:39:54 | ERROR | Серверная ошибка 500 для категории eye-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:54 | WARNING | Не удалось получить продукты для категории Eye.
api_parsing | 2025-02-28 21:39:54 | INFO | Обрабатываем категорию: Eye Palettes (ID: eyeshadow-palettes)
api_parsing | 2025-02-28 21:39:55 | ERROR | Серверная ошибка 500 для категории eyeshadow-palettes, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:55 | WARNING | Не удалось получить продукты для категории Eye Palettes.
api_parsing | 2025-02-28 21:39:55 | INFO | Обрабатываем категорию: Mascara (ID: mascara)
api_parsing | 2025-02-28 21:39:55 | ERROR | Серверная ошибка 500 для категории mascara, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:55 | WARNING | Не удалось получить продукты для категории Mascara.
api_parsing | 2025-02-28 21:39:55 | INFO | Обрабатываем категорию: Eyeliner (ID: eyeliner)
api_parsing | 2025-02-28 21:39:56 | ERROR | Серверная ошибка 500 для категории eyeliner, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:56 | WARNING | Не удалось получить продукты для категории Eyeliner.
api_parsing | 2025-02-28 21:39:56 | INFO | Обрабатываем категорию: Eyebrow (ID: eyebrow-makeup-pencils)
api_parsing | 2025-02-28 21:39:57 | ERROR | Серверная ошибка 500 для категории eyebrow-makeup-pencils, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:57 | WARNING | Не удалось получить продукты для категории Eyebrow.
api_parsing | 2025-02-28 21:39:57 | INFO | Обрабатываем категорию: False Eyelashes (ID: fake-eyelashes-false-eyelashes)
api_parsing | 2025-02-28 21:39:58 | ERROR | Серверная ошибка 500 для категории fake-eyelashes-false-eyelashes, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:58 | WARNING | Не удалось получить продукты для категории False Eyelashes.
api_parsing | 2025-02-28 21:39:58 | INFO | Обрабатываем категорию: Eyeshadow (ID: eyeshadow)
api_parsing | 2025-02-28 21:39:58 | ERROR | Серверная ошибка 500 для категории eyeshadow, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:58 | WARNING | Не удалось получить продукты для категории Eyeshadow.
api_parsing | 2025-02-28 21:39:58 | INFO | Обрабатываем категорию: Eye Primer (ID: eyeshadow-primer-eye-primer)
api_parsing | 2025-02-28 21:39:59 | ERROR | Серверная ошибка 500 для категории eyeshadow-primer-eye-primer, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:39:59 | WARNING | Не удалось получить продукты для категории Eye Primer.
api_parsing | 2025-02-28 21:39:59 | INFO | Обрабатываем категорию: Eye Sets (ID: eye-sets)
api_parsing | 2025-02-28 21:40:00 | ERROR | Серверная ошибка 500 для категории eye-sets, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:00 | WARNING | Не удалось получить продукты для категории Eye Sets.
api_parsing | 2025-02-28 21:40:00 | INFO | Обрабатываем категорию: Lip (ID: lips-makeup)
api_parsing | 2025-02-28 21:40:01 | ERROR | Серверная ошибка 500 для категории lips-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:01 | WARNING | Не удалось получить продукты для категории Lip.
api_parsing | 2025-02-28 21:40:01 | INFO | Обрабатываем категорию: Lip Gloss (ID: lip-gloss)
api_parsing | 2025-02-28 21:40:01 | ERROR | Серверная ошибка 500 для категории lip-gloss, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:01 | WARNING | Не удалось получить продукты для категории Lip Gloss.
api_parsing | 2025-02-28 21:40:01 | INFO | Обрабатываем категорию: Lipstick (ID: lipstick)
api_parsing | 2025-02-28 21:40:02 | ERROR | Серверная ошибка 500 для категории lipstick, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:02 | WARNING | Не удалось получить продукты для категории Lipstick.
api_parsing | 2025-02-28 21:40:02 | INFO | Обрабатываем категорию: Lip Plumper (ID: lip-plumper)
api_parsing | 2025-02-28 21:40:03 | ERROR | Серверная ошибка 500 для категории lip-plumper, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:03 | WARNING | Не удалось получить продукты для категории Lip Plumper.
api_parsing | 2025-02-28 21:40:03 | INFO | Обрабатываем категорию: Lip Balms & Treatments (ID: lip-balm-treatments-lips-makeup)
api_parsing | 2025-02-28 21:40:03 | ERROR | Серверная ошибка 500 для категории lip-balm-treatments-lips-makeup, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:03 | WARNING | Не удалось получить продукты для категории Lip Balms & Treatments.
api_parsing | 2025-02-28 21:40:03 | INFO | Обрабатываем категорию: Liquid Lipstick (ID: liquid-lipstick)
api_parsing | 2025-02-28 21:40:04 | ERROR | Серверная ошибка 500 для категории liquid-lipstick, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:04 | WARNING | Не удалось получить продукты для категории Liquid Lipstick.
api_parsing | 2025-02-28 21:40:04 | INFO | Обрабатываем категорию: Lip Liner (ID: lip-liner-lip-pencils)
api_parsing | 2025-02-28 21:40:05 | ERROR | Серверная ошибка 500 для категории lip-liner-lip-pencils, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:05 | WARNING | Не удалось получить продукты для категории Lip Liner.
api_parsing | 2025-02-28 21:40:05 | INFO | Обрабатываем категорию: Lip Stain (ID: lip-stain)
api_parsing | 2025-02-28 21:40:06 | ERROR | Серверная ошибка 500 для категории lip-stain, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:06 | WARNING | Не удалось получить продукты для категории Lip Stain.
api_parsing | 2025-02-28 21:40:06 | INFO | Обрабатываем категорию: Lip Sets (ID: lip-palettes-gloss-sets)
api_parsing | 2025-02-28 21:40:06 | ERROR | Серверная ошибка 500 для категории lip-palettes-gloss-sets, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:06 | WARNING | Не удалось получить продукты для категории Lip Sets.
api_parsing | 2025-02-28 21:40:06 | INFO | Обрабатываем категорию: Cheek (ID: cheek-makeup)
